ID;NAME;PRICE;RESTAURANT_ID
0;Drambuie;25,5;0
1;MUSSELS TOSCANE fresh tomatoes;29,1;0
2;Cold Poached Atlantic Salmon: three vegetable antipasti;27,7;0
3;Mango Carnitas Enchiladas, slowly simmered lean pork loin, onions, and spices layered between two blue corn tortillas with mango chutney, salsa, sour cream, and white cheddar cheese smothered with green chile and garnished with sour cream and corn salsa served with pinto beans and Basmati rice;22,5;0
4;Croft 90;18,1;0
5;Roast Pork w. Mushrooms;19;0
6;Beef Mai Fun;25;1
7;Wraps: W5  Vegetarian Grilled Eggplant, Squash & Zucchini with Avocado, Sprouts & Humus ... 5.75;18;1
8;Hot Chocolate with whipped cream;20,2;1
9;Kaffee Hag;18,1;1
10;Angel Hair Primavera ;18,6;1
11;Martini;27,1;1
12;Dr. Pepper;17,4;2
13;KITCHEN-MADE HEADCHEESE with a sweet onion relish;16,2;2
14;Gewuertztraminer, Trimbach, Alsace, France 1998;19,3;2
15;Vitello Milanese BREADED VEAL TOPPED WITH MUSHROOMS;18,3;2
16;House Special Chow Fun;21,2;2
17;Braised Pork Loin stuffed with sweet sausage and served with artichoke and zucchini ;19,7;2
18;Fresh Blackened Cajun Grouper;17,8;2
19;Broccoli w. Mushrooms;19,4;2
20;Red Zinger Iced Herbal Tea;25,8;2
21;Tarte FlambÃƒÂ©e - Alsatian thin crust tart with crÃƒÂ¨me fraÃƒÂ®che, onion and applewood smoked bacon;22,4;3
22;1/2 Crab Mayonnaise;15,7;3
23;OYSTERS:  Malpeque   ;14;3
24;2007 SAUVIGNON BLANC Santa Ynez Valley Brander;17,4;3
25;Banana Pie. Banana with Non-Dairy Yogurt/Shredded Almond;15,8;3
26;Antipasti Fellinis CLAMS, MUSSELS, SQUID, SHRIMP, STUFFED MUSHROOMS & EGGPLANT ROLLANTINO;19,1;3
27;Pasta Pomodoro CHOICE OF PASTA WITH TOMATO OR MARINARA SAUCE;17,5;3
28;Fettuccine Carbonara FETTUCCINE WITH BACON, CHEESE, ONIONS & EGG;16,6;4
29;San Pallegrino;27,5;4
30;Smoked Trout Pate with Croutons;15,4;4
31;Chardonnay, Glass Mountain;24,7;4
32;Gnocchi Bolognese HOMEMADE DUMPLINGS PASTA WITH MEAT SAUCE;22,9;5
33;Mix & Match Flight: Franciscan Merlot, McDowell Syrah, Cline Old Vines Zinfandel;20,2;5
34;Duvel ;19,6;5
35;Mango Carnitas Enchiladas, vegetarian;21,2;5
36;Fresh Blackened Cajun Grouper;22,8;5
37;GELATI FATTI IN CASA  ;24,1;5
38;Brie;28,5;6
39;Albarino, Morgadio, 1999. (Spain);17,3;6
40;FRESH RAINBOW TROUT an 8 oz. boneless rainbow trout grilled and topped with a lemon, herb butter served with steamed Basmati rice and fresh vegetables;17,5;6
41;Balthazar Bar Steak with pommes frites and maÃƒÂ®tre d butter or bearnaise sauce ;19,8;6
42;Tocai Friulano, Borgo Conventi, 1997. (Friuli);16,2;6
43;CAPPELLACCI DI FORMAGGIO large cheese ravioli, prosciutto & sage;26,5;6
44;Blackened Chicken Sandwich;25,8;6
45;Assorted Smoked Salmon & Shrimp;16,4;6
46;Grilled Vegetables Including Portobellos, Squash, Eggplant & Zucchini with Melted Mozzarella and a Cucumber Dill Dressing served on Seven Grain Health Bread;18,9;6
47;Steamed Broccoli w. Chicken;25,9;7
48;Wraps: W6  Italian Tuna Wrap (No Mayo No Oil), Plum Tomato, Leaf Lettuce & Sprouts ... 5.95;19,7;7
49;Steamed Broccoli w. Shrimp & Chicken;22,3;7
50;St. Jacques PolÃƒÂ©es;30,2;7
51;Haut Medoc, Chateau Larose Trintaudon 1995 (Bordeaux);18,5;8
52;TOASTED ORANGE SAVARIN;19,4;8
53;Chicken Fried Rice;14,8;8
54;House Special Chow Fun;10,6;8
55;Lobster Fried Rice;18,1;8
56;House Spicy Maki Rolls - jalapeno smoked salmon, yellowfin tuna, cucumber, scallion, flying fish roe;14,9;8
57;Amarone Classico 1995, Allegrini (Veneto);17,1;8
58;Dolcetto DAlba 1999, Gianni Voerzio (Piemonte);16,7;8
59;Beef Chop Suey;24,1;9
60;Saint-Julien, Chateau Gruaud Larose 1987 (Bordeaux);22,4;9
61;Cappucino;23,7;9
62;Ferrando: Piedmont, Erbaluce;15,4;9
63;Soup du Jour ;19,1;9
64;Topi-Maki and Mixed Salad;17;9
65;Assorted Teas*;19;9
66;Banoffee;13,5;9
67;Puligny-Montrachet, Chanson 1995;25,1;9
68;BLACK BEAN SOUP, WITH OLD & NEW - FASHIONED ACCOMPANIMENTS;17,9;10
69;Thai Red Curry with sauteed Shrimp;12,5;10
70;Tuna. Prepared Medium Rare;8,9;10
71;Frogs Leap, 1995, Napa;14,6;10
72;Chianti Classico, Riserva 1997, Felsina Rancia (Toscana);15,7;10
73;Baby Back Pork Ribs ;10,9;10
74;ARUGOLA WITH A LEMON-OLIVE OIL DRESSING AND PARMESAN SHAVINGS;20,6;11
75;ChÃƒÂ¢teau de PocÃƒÂ©, Touraine, 1999, Sauvignon;24,1;11
76;Riesling Saering, Grand Cru, Domaine Schlumberger, Alsace, France 1997;26,4;11
77;Cream of Cauliflower Soup;31,4;11
78;Insalata Di Spinacci WITH BACON, WALNUTS & MUSHROOMS;26,4;12
79;Bistecca Alla Fiornentina (House Specialty)  (For Two), 48 0z prime porterhouse, arugula salad & aged balsamic- per person;24,7;12
80;Pollo Tre colori BREAST OF CHICKEN WITH BRAISED RADICCHIO, ARUGOLA, ENDIVE & PLUM TOMATOES;28;12
81;Pierre Gimonnet: Champagne, Chardonnay, 99;26,5;12
82;Hamburger;29,2;12
83;Four Seasons Jumbo shrimp, lobster, chicken, roast pork sauteed w. broccoli, red pepper, baby corn & waterchestnuts in a delicious brown sauce.;29,8;12
84;Fusilli Al Salmone CORKSCREW PASTA WITH SALMON IN A PINK SAUCE;23;12
85;Chicken Liver Toast;24,6;12
86;Half-Sandwich (choice of Tuna Salad, Curried Chicken Salad or Sliced turkey) with Lobster Bisque;28,4;13
87;Chateauneuf-du-Pape, Chateau Mont-Redon, Rhone, France 1998;19,4;13
