,ID,NAME,CREATION_DATE,CITY,STREET,EMAIL,PHONE_NUMBER,Opening,Closing
0,0,Billiard Pool And Bowling Tournament,2017-04-03 14:06:09,New York,E 84th St,billiard_pool_and_bowling_tournament@gmail.com,0499-071595,08:00,21:00
1,1,Palliser Hotel,2017-04-04 12:46:00,New York,W 168th St,palliser_hotel@aol.com,0494-416309,12:00,23:00
2,2,Duffs,2017-04-05 04:01:27,San Francisco,Thornton Ave,duffs@gmail.com,0495-750801,13:00,23:00
3,3,"[The Waldorf Astoria Hotel (New York, N.Y.)]",2017-04-05 04:59:31,San Francisco,Lassen Alley,"[the_waldorf_astoria_hotel_(new_york,_ny)]@yahoo.com",0495-004404,12:00,20:00
4,4,Grand Hotel Royal,2017-04-06 04:37:32,New York,York Ave,grand_hotel_royal@aol.com,0497-902845,13:00,23:00
5,5,The Spalding,2017-04-06 21:39:30,San Francisco,Christmas Tree Point Rd,the_spalding@yahoo.com,0496-025089,12:00,20:00
6,6,Camp Wadsworth,2017-04-07 09:44:34,San Francisco,Gaviota Way,camp_wadsworth@aol.com,0497-545403,13:00,23:00
7,7,Chula Vista,2017-04-07 13:08:36,San Francisco,Moscow St,chula_vista@yahoo.com,0497-768114,08:00,21:00
8,8,Cafe Zur Frauenkirche ,2017-04-08 10:03:20,New York,Rector Pl,cafe_zur_frauenkirche_@yahoo.com,0494-847491,08:00,12:00
9,9,Del Coronada Hotel,2017-04-09 02:10:23,New York,Cherry St,del_coronada_hotel@yahoo.com,0499-572241,12:00,20:00
10,10,San Remo Hotel,2017-04-09 23:25:13,San Francisco,Pixley St,san_remo_hotel@aol.com,0499-049339,08:00,12:00
11,11,Old Poodle Dog Restaurant,2017-04-10 15:26:35,San Francisco,37th Ave,old_poodle_dog_restaurant@inbox.com,0497-207420,08:00,21:00
12,12,Roome Lodge,2017-04-10 19:20:15,New York,Fort George Ave,roome_lodge@mail.com,0494-584106,12:00,23:00
13,13,Campi,2017-04-11 01:09:33,New York,Leroy St,campi@yahoo.com,0497-846102,13:00,23:00
14,14,Hotel St. George,2017-04-13 02:39:48,San Francisco,Central Ave,hotel_st_george@inbox.com,0497-692057,12:00,20:00
15,15,Robert E. Peary,2017-04-13 10:49:51,San Francisco,Donner Ave,robert_e_peary@inbox.com,0494-709746,12:00,23:00
16,16,Henri Confiseur,2017-04-13 12:08:04,San Francisco,Harrison Blvd - Golden Gate National Recreation Area,henri_confiseur@inbox.com,0499-393361,12:00,23:00
17,17,Junket Club,2017-04-14 01:04:03,New York,W 163rd St,junket_club@gmail.com,0497-162179,08:00,21:00
18,18,The Pennsylvania Bar Association On Behalf Of The Bar Of The Commonwealth,2017-04-14 10:41:30,San Francisco,Higuera Ave,the_pennsylvania_bar_association_on_behalf_of_the_bar_of_the_commonwealth@outlook.com,0495-673340,08:00,12:00
19,19,Pains Fireworks Co. Employees,2017-04-14 14:49:50,San Francisco,French Ct - Golden Gate National Recreation Area,pains_fireworks_co_employees@aol.com,0495-997499,13:00,23:00
20,20,John Hart,2017-04-15 11:08:01,San Francisco,Jackson St,john_hart@yahoo.com,0495-220630,13:00,23:00
21,21,S.S. Bruce,2017-04-15 13:05:48,San Francisco,Bosworth St,ss_bruce@inbox.com,0495-086825,12:00,23:00
22,22,S.S. Hastings,2017-04-16 12:26:08,New York,University Pl,ss_hastings@mail.com,0497-759548,13:00,23:00
23,23,Waldorf Hotel,2017-04-16 19:34:01,New York,W 105th St,waldorf_hotel@hotmail.com,0497-155341,08:00,21:00
24,24,Greenhuts Lunch Room at 18th and 19th Streets.,2017-04-17 04:22:59,San Francisco,Cordelia St,greenhuts_lunch_room_at_18th_and_19th_streets@outlook.com,0497-157694,12:00,23:00
25,25,Berkeley Class Of 91,2017-04-20 23:22:19,San Francisco,Otis St,berkeley_class_of_91@hotmail.com,0499-030675,13:00,23:00
26,26,Iturbide Restaurant,2017-04-21 01:55:00,New York,Barrow St,iturbide_restaurant@outlook.com,0499-616306,12:00,20:00
27,27,Societe Nationale De Poudres Et Explosifs,2017-04-22 01:13:46,New York,W Broadway,societe_nationale_de_poudres_et_explosifs@yahoo.com,0498-576501,08:00,21:00
28,28,Society Of Medical Jurisprudence,2017-04-22 09:33:11,San Francisco,Burke Ave,society_of_medical_jurisprudence@hotmail.com,0495-967704,12:00,23:00
29,29,National Wholesale  Druggists Association,2017-04-22 19:31:05,New York,W 116th St,national_wholesale__druggists_association@yahoo.com,0494-229559,12:00,23:00
30,30,Comrades Of The Army Of The Potomac,2017-04-23 06:01:04,San Francisco,Harrison St,comrades_of_the_army_of_the_potomac@gmail.com,0494-503010,12:00,23:00
31,31,Cathay House,2017-04-23 09:48:30,San Francisco,Cesar Chavez,cathay_house@outlook.com,0494-615406,08:00,12:00
